"GMT","Etc/GMT"
"Australia/ACT","Australia/Sydney"
"Australia/LHI","Australia/Lord_Howe"
"Australia/NSW","Australia/Sydney"
"Australia/North","Australia/Darwin"
"Australia/Queensland","Australia/Brisbane"
"Australia/South","Australia/Adelaide"
"Australia/Tasmania","Australia/Hobart"
"Australia/Victoria","Australia/Melbourne"
"Australia/West","Australia/Perth"
"Australia/Yancowinna","Australia/Broken_Hill"
"Brazil/Acre","America/Rio_Branco"
"Brazil/DeNoronha","America/Noronha"
"Brazil/East","America/Sao_Paulo"
"Brazil/West","America/Manaus"
"CET","Europe/Brussels"
"CST6CDT","America/Chicago"
"Canada/Atlantic","America/Halifax"
"Canada/Central","America/Winnipeg"
"Canada/Eastern","America/Toronto"
"Canada/Mountain","America/Edmonton"
"Canada/Newfoundland","America/St_Johns"
"Canada/Pacific","America/Vancouver"
"Canada/Saskatchewan","America/Regina"
"Canada/Yukon","America/Whitehorse"
"Chile/Continental","America/Santiago"
"Chile/EasterIsland","Pacific/Easter"
"Cuba","America/Havana"
"EET","Europe/Athens"
"EST","America/Panama"
"EST5EDT","America/New_York"
"Egypt","Africa/Cairo"
"Eire","Europe/Dublin"
"Etc/GMT+0","Etc/GMT"
"Etc/GMT-0","Etc/GMT"
"Etc/GMT0","Etc/GMT"
"Etc/Greenwich","Etc/GMT"
"Etc/UCT","Etc/UTC"
"Etc/Universal","Etc/UTC"
"Etc/Zulu","Etc/UTC"
"GB","Europe/London"
"GB-Eire","Europe/London"
"GMT+0","Etc/GMT"
"GMT-0","Etc/GMT"
"GMT0","Etc/GMT"
"Greenwich","Etc/GMT"
"Hongkong","Asia/Hong_Kong"
"Iceland","Africa/Abidjan"
"Iran","Asia/Tehran"
"Israel","Asia/Jerusalem"
"Jamaica","America/Jamaica"
"Japan","Asia/Tokyo"
"Kwajalein","Pacific/Kwajalein"
"Libya","Africa/Tripoli"
"MET","Europe/Brussels"
"MST","America/Phoenix"
"MST7MDT","America/Denver"
"Mexico/BajaNorte","America/Tijuana"
"Mexico/BajaSur","America/Mazatlan"
"Mexico/General","America/Mexico_City"
"NZ","Pacific/Auckland"
"NZ-CHAT","Pacific/Chatham"
"Navajo","America/Denver"
"PRC","Asia/Shanghai"
"Poland","Europe/Warsaw"
"Portugal","Europe/Lisbon"
"ROC","Asia/Taipei"
"ROK","Asia/Seoul"
"Singapore","Asia/Singapore"
"Turkey","Europe/Istanbul"
"UCT","Etc/UTC"
"US/Alaska","America/Anchorage"
"US/Aleutian","America/Adak"
"US/Arizona","America/Phoenix"
"US/Central","America/Chicago"
"US/East-Indiana","America/Indiana/Indianapolis"
"US/Eastern","America/New_York"
"US/Hawaii","Pacific/Honolulu"
"US/Indiana-Starke","America/Indiana/Knox"
"US/Michigan","America/Detroit"
"US/Mountain","America/Denver"
"US/Pacific","America/Los_Angeles"
"US/Samoa","Pacific/Pago_Pago"
"UTC","Etc/UTC"
"Universal","Etc/UTC"
"W-SU","Europe/Moscow"
"Zulu","Etc/UTC"
"America/Buenos_Aires","America/Argentina/Buenos_Aires"
"America/Catamarca","America/Argentina/Catamarca"
"America/Cordoba","America/Argentina/Cordoba"
"America/Indianapolis","America/Indiana/Indianapolis"
"America/Jujuy","America/Argentina/Jujuy"
"America/Knox_IN","America/Indiana/Knox"
"America/Louisville","America/Kentucky/Louisville"
"America/Mendoza","America/Argentina/Mendoza"
"America/Virgin","America/Puerto_Rico"
"Pacific/Samoa","Pacific/Pago_Pago"
"Africa/Timbuktu","Africa/Abidjan"
"America/Argentina/ComodRivadavia","America/Argentina/Catamarca"
"America/Atka","America/Adak"
"America/Coral_Harbour","America/Panama"
"America/Ensenada","America/Tijuana"
"America/Fort_Wayne","America/Indiana/Indianapolis"
"America/Montreal","America/Toronto"
"America/Nipigon","America/Toronto"
"America/Pangnirtung","America/Iqaluit"
"America/Porto_Acre","America/Rio_Branco"
"America/Rainy_River","America/Winnipeg"
"America/Rosario","America/Argentina/Cordoba"
